"experiment","description","EFOType","EFOValue"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10070>","Transcription profiling of human MCF10A cells through Differentiation on Transwells","organism part","breast"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10070>","Transcription profiling of human MCF10A cells through Differentiation on Transwells","phenotype","monolayer control"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10070>","Transcription profiling of human MCF10A cells through Differentiation on Transwells","cell type","epithelial cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10070>","Transcription profiling of human MCF10A cells through Differentiation on Transwells","cell line","MCF10A"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10070>","Transcription profiling of human MCF10A cells through Differentiation on Transwells","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10070>","Transcription profiling of human MCF10A cells through Differentiation on Transwells","phenotype","mid transepithelial electrical resistance"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10070>","Transcription profiling of human MCF10A cells through Differentiation on Transwells","phenotype","plateau transepithelial electrical resistance"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10070>","Transcription profiling of human MCF10A cells through Differentiation on Transwells","phenotype","low transepithelial electrical resistance"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10233>","Transcription profiling by array of human PMA-activated MM6 cells with cyclin T1 knockdown","RNAi","control shRNA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10233>","Transcription profiling by array of human PMA-activated MM6 cells with cyclin T1 knockdown","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10233>","Transcription profiling by array of human PMA-activated MM6 cells with cyclin T1 knockdown","genetic modification","transfection"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10233>","Transcription profiling by array of human PMA-activated MM6 cells with cyclin T1 knockdown","cell type","monocyte"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10233>","Transcription profiling by array of human PMA-activated MM6 cells with cyclin T1 knockdown","cell line","MM6"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10233>","Transcription profiling by array of human PMA-activated MM6 cells with cyclin T1 knockdown","RNAi","cyclin T1 shRNA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","organism part","trabecular bone"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","sex","male"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","age","25 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","Compound treatment","vehicle"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","cell type","osteoblast like cells"
