experiment,EFOValue
E-GEOD-10591,liver carcinoma
E-GEOD-10289,hepatocellular carcinoma
E-GEOD-10406,chronic rhinosinusitis
E-GEOD-10406,normal
E-GEOD-10406,cystic fibrosis and chronic rhinosinusitis
E-GEOD-10696,epidermoid carcinoma
E-GEOD-10718,normal
E-GEOD-10746,acute myeloid leukemia
E-GEOD-10746,normal
E-GEOD-10879,breast cancer
E-GEOD-10890,breast cancer
E-GEOD-10799,normal
E-GEOD-10799,pulmonary adenocarcinoma
E-GEOD-10780,normal
E-GEOD-10780,breast carcinoma
E-GEOD-10820,acute lymphoblastic leukemia
E-GEOD-10831,hodgkins lymphoma
E-GEOD-10831,normal
E-GEOD-11078,breast carcinoma
E-GEOD-10916,melanoma
E-GEOD-10927,adrenocortical carcinoma
E-GEOD-10927,adrenocortical adenoma
E-GEOD-10927,normal
E-GEOD-11755,meningococcal sepsis
E-GEOD-11755,normal
E-GEOD-10971,high grade serous carcinoma
E-GEOD-10971,normal
E-GEOD-11352,breast cancer
E-GEOD-11199,meningeal tuberculosis
E-GEOD-11199,pulmonary tuberculosis
E-GEOD-11199,latent tuberculosis
E-GEOD-11428,prostate cancer
E-GEOD-11309,normal
E-GEOD-11309,autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy
E-GEOD-11324,breast cancer
E-GEOD-11440,colon cancer
E-GEOD-11886,normal
E-GEOD-11886,ankylosing spondylitis
E-GEOD-11761,normal
E-GEOD-11783,interstitial cystitis
E-GEOD-11783,normal
E-GEOD-11839,interstitial cystitis
E-GEOD-11839,stress incontinence
E-GEOD-12090,chromophobe renal cell carcinoma
E-GEOD-12090,oncocytoma
E-GEOD-12113,pancreatic cancer
E-GEOD-12251,ulcerative colitis
E-GEOD-12254,viral hemorrhagic fever
E-GEOD-12254,normal
E-GEOD-11959,neuroblastoma
E-GEOD-12034,normal
E-GEOD-12172,ovarian cancer
E-GEOD-12408,alagille syndrome
E-GEOD-12408,cornelia de lange syndrome
E-GEOD-12408,roberts syndrome
E-GEOD-12408,normal
E-GEOD-12287,t cell leukemia
E-GEOD-12452,nasopharyngeal carcinoma
E-GEOD-12452,normal
