experiment,EFOValue
E-GEOD-10070,breast
E-GEOD-10311,trabecular bone
E-GEOD-10595,bone marrow
E-GEOD-10406,sinus mucosa
E-GEOD-10313,peripheral blood
E-GEOD-10315,bone marrow
E-GEOD-10696,epidermis
E-GEOD-10718,bronchus
E-GEOD-10746,buccal mucosa
E-GEOD-10799,lung
E-GEOD-10821,tonsil
E-GEOD-10780,breast
E-GEOD-10820,peripheral blood
E-GEOD-10831,not applicable
E-GEOD-10831,tonsil
E-GEOD-11078,lung
E-GEOD-11078,non-lung
E-GEOD-11166,kidney
E-GEOD-10927,tumor
E-GEOD-10927,adrenal cortex
E-GEOD-11755,peripheral blood
E-GEOD-11208,peripheral ganglion
E-GEOD-10971,oviduct
E-GEOD-11057,peripheral blood
E-GEOD-10979,amnion
E-GEOD-11045,kidney
E-GEOD-11045,liver
E-GEOD-11348,nose
E-GEOD-11199,peripheral blood
E-GEOD-11281,peripheral blood
E-GEOD-11309,peripheral blood
E-GEOD-11886,peripheral blood
E-GEOD-11761,peripheral blood
E-GEOD-11919,skin
E-GEOD-11783,bladder
E-GEOD-11941,liver
E-GEOD-11839,bladder
E-GEOD-12090,renal tumor
E-GEOD-12108,peripheral blood
E-GEOD-12113,pancreatic tumor
E-GEOD-12121,gum
E-GEOD-12251,colon
E-GEOD-12254,liver
E-GEOD-12034,mixed
E-GEOD-12264,trabecular bone
E-GEOD-12265,bone marrow
E-GEOD-12172,ovary
E-GEOD-12172,peritoneum
E-GEOD-12172,other
E-GEOD-12293,"dorsolateral prefrontal cortex,neurons from dorsolateral prefrontal cortex"
E-GEOD-12293,cerebellum
E-GEOD-12293,cortex
E-GEOD-12293,liver
E-GEOD-12293,"dorsolateral prefrontal cortex,endothelial cells from dorsolateral prefrontal cortex"
E-GEOD-12408,peripheral blood
E-GEOD-12446,endometrium
E-GEOD-12276,primary breast tumor
E-GEOD-12287,peripheral blood
E-GEOD-12452,nasopharynx
E-GEOD-12710,peripheral blood
E-GEOD-12631,conjunctiva
E-GEOD-12662,bone marrow
E-GEOD-12773,peripheral blood
E-GEOD-12667,lung
E-GEOD-12734,peripheral blood
E-GEOD-12764,mammary gland
E-GEOD-12949,tumor
E-GEOD-13002,bone marrow
E-GEOD-13073,bone marrow
E-GEOD-13396,bronchus
E-GEOD-13274,mammary gland
E-GEOD-13355,skin
E-GEOD-13319,myometrium
E-GEOD-13319,leiomyoma
E-GEOD-13501,peripheral blood
E-GEOD-13487,skin
E-GEOD-13837,synovial membrane
E-GEOD-13637,umbilical vein
E-GEOD-13548,bone
E-GEOD-13548,cervix
E-GEOD-13548,stomach
E-GEOD-13548,colon
E-GEOD-13762,peripheral blood
E-GEOD-13899,peripheral blood
E-GEOD-13909,peripheral blood
E-GEOD-13909,spleen
E-GEOD-13911,stomach
E-GEOD-13911,tumor
E-GEOD-14001,ovary
E-GEOD-14017,lung
E-GEOD-14017,brain
E-GEOD-14017,bone
E-GEOD-13987,peripheral blood
E-GEOD-14390,aveoli
E-GEOD-14383,bronchiole
E-GEOD-14278,peripheral blood
E-GEOD-14897,foreskin
E-GEOD-14897,embryo
E-GEOD-14827,tibia
E-GEOD-14827,femur
E-GEOD-14827,humerus
E-GEOD-14926,peripheral blood
E-GEOD-14924,peripheral blood
E-GEOD-14973,peripheral blood
E-GEOD-15645,peripheral blood
E-GEOD-15271,tonsil
E-GEOD-15389,peripheral blood
E-GEOD-15431,testis
E-GEOD-15431,ovary
E-GEOD-15543,pancreas
E-GEOD-15811,umbilical cord blood
E-GEOD-16134,gingival
E-GEOD-15947,prostate
E-GEOD-16020,peripheral blood
E-GEOD-16214,peripheral blood
E-GEOD-16363,lymph node
E-GEOD-1643,lower lobe lung
E-GEOD-1643,upper lobe lung
E-GEOD-16728,peripheral blood
E-GEOD-16515,pancreas
E-GEOD-16797,peripheral blood
E-GEOD-16836,peripheral blood
E-GEOD-16837,peripheral blood
E-GEOD-17189,lymph node
E-GEOD-17189,pleural fluid
E-GEOD-17189,lung
E-GEOD-17189,mediastinal/atrial
E-GEOD-17189,small intestine
E-GEOD-17189,jejunum
E-GEOD-17189,neck
E-GEOD-17189,spinal/epidural
E-GEOD-17189,hilum/lung
E-GEOD-17189,colon
E-GEOD-17189,hilum
E-GEOD-17251,liver
E-GEOD-17400,bronchus
E-GEOD-17763,skin
E-GEOD-18105,"cancer, lcm"
E-GEOD-18105,"cancer, homogenized"
E-GEOD-18105,normal. homogenized
E-GEOD-17549,peripheral blood
E-GEOD-17549,skin
E-GEOD-17539,cultured skin substitute
E-GEOD-17539,skin
E-GEOD-17906,prostate
E-GEOD-17906,bladder
E-GEOD-18271,ganglioneuroma
E-GEOD-18271,ganglioneuroblastoma
E-GEOD-18290,morula
E-GEOD-18290,embryo
E-GEOD-18290,blastocyst
E-GEOD-18290,oocyte
E-GEOD-18913,umbilical vein
E-GEOD-18842,lung
E-GEOD-18995,lung
E-GEOD-19067,tumor
E-GEOD-19665,liver
E-GEOD-19784,bone marrow
E-GEOD-19826,intestine
E-GEOD-19804,lung
E-GEOD-19864,lung
E-GEOD-19982,kidney
E-GEOD-20086,normal breast
E-GEOD-20086,breast carcinoma
E-GEOD-20114,peripheral blood
E-GEOD-21164,quadriceps muscle
E-GEOD-21050,extremity
E-GEOD-21050,trunk wall
E-GEOD-21050,internal trunk
E-GEOD-21050,head and neck
E-GEOD-20950,subcutaneous adipose
E-GEOD-20950,omental adipose
E-GEOD-21138,brodmann area46
E-GEOD-21261,peripheral blood
E-GEOD-21610,myocardial tissue
E-GEOD-21887,human prostate cancer xenograft
E-GEOD-22229,blood
E-GEOD-22501,peripheral blood
